#eps09LO26.dat 1.1
0.05018 -0.07168 0.03961 -0.007505 
0.03048 0.03595 -0.02545 0.003479 
0.1024 -0.02428 -0.01978 0.009463 
0.1592 -0.1886 0.119 -0.0262 
0.02681 0.1327 -0.133 0.03543 
0.04559 0.03624 -0.03875 0.009329 
0.06742 -0.04783 0.02174 -0.003461 
-0.04994 0.181 -0.1325 0.0297 
-0.1058 0.2796 -0.2089 0.04895 
-0.06892 0.1137 -0.06549 0.01274 
-0.108 0.1468 -0.0814 0.01579 
-0.1437 0.1683 -0.08688 0.01599 
-0.1854 0.2071 -0.1069 0.01983 
-0.2142 0.2106 -0.099 0.01706 
-0.252 0.2414 -0.1124 0.01924 
-0.291 0.2821 -0.1348 0.02374 
-0.3085 0.2715 -0.1186 0.01921 
-0.353 0.3383 -0.1619 0.02861 
-0.3673 0.3405 -0.1593 0.02769 
-0.3802 0.3506 -0.1646 0.02885 
-0.3883 0.3577 -0.1672 0.02912 
-0.3881 0.3648 -0.1733 0.03052 
-0.3416 0.3203 -0.1537 0.0276 
-0.1931 0.1372 -0.04666 0.005741 
0.07615 -0.09119 0.053 -0.01002 
0.8907 -1.031 0.5845 -0.1141 
2.799 -2.695 1.386 -0.2517 
6.351 -5.096 2.294 -0.3681 
12.09 -8.247 3.148 -0.4085 

-0.04819 -0.108 0.08252 -0.01738 
-0.04819 -0.108 0.08252 -0.01738 
-0.04819 -0.108 0.08252 -0.01738 
-0.04753 -0.1108 0.08572 -0.01835 
-0.0532 -0.0944 0.07184 -0.01478 
-0.05549 -0.0878 0.06673 -0.01359 
-0.05507 -0.09002 0.06941 -0.01443 
-0.05507 -0.09002 0.06941 -0.01443 
-0.05507 -0.09002 0.06941 -0.01443 
-0.0528 -0.09627 0.07435 -0.0156 
-0.05389 -0.09443 0.07414 -0.0158 
-0.056 -0.08998 0.07163 -0.01535 
-0.0497 -0.09843 0.07441 -0.01534 
-0.05541 -0.08491 0.06603 -0.01376 
-0.04498 -0.1081 0.08361 -0.01795 
-0.042 -0.1109 0.08593 -0.01853 
-0.05094 -0.07858 0.06022 -0.0124 
-0.0476 -0.07457 0.05684 -0.01167 
-0.02819 -0.1044 0.07846 -0.01672 
-0.02405 -0.08464 0.06164 -0.01278 
-0.01478 -0.06333 0.04342 -0.008647 
0.005109 -0.04863 0.02765 -0.004721 
0.05018 -0.07168 0.03961 -0.007505 
0.02598 0.0378 -0.01778 -0.0003478 
0.1024 -0.02428 -0.01978 0.009463 
0.1332 -0.1462 0.09889 -0.02349 
0.02681 0.1327 -0.133 0.03543 
0.04139 0.05844 -0.06554 0.01775 
0.04137 -0.005396 0.001638 -0.0007463 
0.006823 0.0167 0.006278 -0.005965 
-0.1138 0.2995 -0.2225 0.0515 
-0.06771 0.1117 -0.06517 0.01288 
-0.1039 0.1333 -0.06962 0.01268 
-0.1432 0.1658 -0.08469 0.01535 
-0.1729 0.1726 -0.07985 0.01335 
-0.2202 0.2241 -0.1087 0.01922 
-0.2579 0.2549 -0.1229 0.02187 
-0.2833 0.2599 -0.1177 0.01977 
-0.3215 0.3027 -0.1412 0.02429 
-0.3523 0.3366 -0.1609 0.02843 
-0.3647 0.3319 -0.1519 0.02584 
-0.3806 0.3508 -0.1638 0.02847 
-0.3826 0.3418 -0.1544 0.02603 
-0.3687 0.3142 -0.1341 0.02125 
-0.3236 0.2747 -0.1179 0.01893 
-0.1923 0.1416 -0.05201 0.007336 
0.0002462 0.1093 -0.09289 0.0222 
0.8562 -0.9202 0.4996 -0.09459 
2.75 -2.58 1.316 -0.2384 
6.057 -4.502 1.945 -0.3047 
11.15 -6.32 1.978 -0.1887 

-0.04819 -0.108 0.08252 -0.01738 
-0.04819 -0.108 0.08252 -0.01738 
-0.04753 -0.1108 0.08572 -0.01835 
-0.04753 -0.1108 0.08572 -0.01835 
-0.05072 -0.1013 0.07732 -0.01609 
-0.05507 -0.09002 0.06941 -0.01443 
-0.05507 -0.09002 0.06941 -0.01443 
-0.05507 -0.09002 0.06941 -0.01443 
-0.0528 -0.09627 0.07435 -0.0156 
-0.05325 -0.09608 0.07512 -0.01598 
-0.05389 -0.09443 0.07414 -0.0158 
-0.05113 -0.1005 0.07858 -0.01679 
-0.05207 -0.09204 0.06971 -0.01429 
-0.05292 -0.09179 0.07151 -0.01506 
-0.05428 -0.0826 0.06359 -0.01312 
-0.0419 -0.108 0.08229 -0.01747 
-0.0429 -0.09914 0.07632 -0.01628 
-0.0323 -0.1105 0.08278 -0.01754 
-0.03829 -0.07696 0.05708 -0.01164 
-0.02504 -0.07794 0.05574 -0.01134 
-0.01147 -0.06938 0.04727 -0.009382 
0.01532 -0.0743 0.04815 -0.00977 
0.05018 -0.07168 0.03961 -0.007505 
0.1326 -0.212 0.1591 -0.03944 
0.1592 -0.1886 0.119 -0.0262 
